Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.19869,-0.042275,0.0026893,0,0,0,61.5,0.66713,-0.030684,0.0010817,0.45911,-0.00095978,0.28801,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/base_link.STL,,base_link-1,cs00,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
calf_Link,0.15089,-6.3254E-06,0.0012888,0,0,0,16,0.0049624,-2.0816E-05,7.6927E-07,0.022537,1.5354E-07,0.026442,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/calf_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/calf_Link.STL,,calf_link-1,cs_smallleg_pitch,axis_smallleg_pitch,calf_pitch_joint,revolute,0,0,0,0,0,0,base_link,0,0,1,100,3.14,-1.2566,0.52,,,,,,,,
thigh_Link,0.18956,-0.0088997,0.00187,0,0,0,11,0.22318,-0.014365,-0.0056146,0.46318,-0.00041005,0.35897,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/thigh_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/thigh_Link.STL,,thigh_link-1,cs_bigleg_pitch,axis_bigleg_pitch,thigh_pitch_joint,revolute,0.3,0,0,0,0,0,calf_Link,0,0,1,100,3.14,0,2.56,,,,,,,,
waist_Link,2.9662E-05,0.0098953,-0.0027717,0,0,0,5,0.07633,3.7224E-05,-1.8709E-06,0.089778,-0.00057105,0.097713,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/waist_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/waist_Link.STL,,waist_link-1,cs_waist_pitch,axis_waist_pitch,waist_pitch_joint,revolute,0.35,0,0,0,0,1.5708,thigh_Link,0,0,1,100,3.14,-1.31,0.5235,,,,,,,,
torso_Link,0.01102,-2.3722E-05,0.26952,0,0,0,18.35,0.37614,1.6502E-05,0.0079687,0.17393,-3.5374E-05,0.25035,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/torso_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/torso_Link.STL,,body_link-1,cs_waist_yaw,axis_waist_yaw,waist_yaw_joint,revolute,0,-0.065,0,1.5708,0,0,waist_Link,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
head_yaw_Link,0.00036239,-0.0041487,0.043435,0,0,0,0.35,0.00011035,-8.4241E-08,1.4605E-06,7.2715E-05,-1.16E-06,0.00010722,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/head_yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/head_yaw_Link.STL,,head_yaw_link-1,cs_neck_yaw,axis_neck_yaw,head_yaw_joint,revolute,0,0,0.4767,0,0,3.14,torso_Link,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
head_pitch_Link,0.11286,0.019983,-0.00029554,0,0,0,1.3,5.5911E-06,2.2958E-06,-2.1826E-09,7.3036E-06,4.9018E-10,6.6734E-06,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/head_pitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/head_pitch_Link.STL,,head_pitch_link-1,cs_neck_pitch,axis_neck_pitch,head_pitch_joint,revolute,0,0,0.063,1.5708,-1.5708,0,head_yaw_Link,0,0,1,100,3.14,-0.5235,0.5235,,,,,,,,
head_d435_Link,-0.016645,-0.058585,-0.022112,0,0,0,0.1,0.00051358,-2.5646E-06,-5.4758E-07,0.00014601,-8.7061E-05,0.00049647,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/head_d435_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/head_d435_Link.STL,,head_D435-1,cs_head_d435,axis_head_d435,head_d435_joint,fixed,0.15141,0.092208,0.0175,-2.7925,-1.5708,1.5708,head_pitch_Link,0,0,0,,,,,,,,,,,,
body_d435_Link,-0.016445,4.5863E-06,-0.0079779,0,0,0,0.1,4.9998E-06,2.5501E-10,4.1936E-07,3.1607E-05,1.491E-09,3.1548E-05,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/body_d435_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/body_d435_Link.STL,,body_D435_camera-1,cs_body_d435,axis_body_d435,body_d435_joint,fixed,0.10174,0.0175,0.25077,2.2703,0,1.5708,torso_Link,0,0,0,,,,,,,,,,,,
left_j0_Link,-2.9213E-06,5.2653E-05,0.11659,0,0,0,0.3,0.00050755,-8.62E-09,6.2346E-08,0.00050802,-8.6522E-07,0.00023286,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_j0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_robot_26.8.16_3/meshes/left_j0_Link.STL,,J1L-1,cs_J0L,axis1,left_j0_joint,fixed,0,0.2385,0.3897,1.5708,1.5708,0,torso_Link,0,0,0,,,,,,,,,,,,
