Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.039196,0.0031755,0.036044,0,0,0,61.5,1.8193,0.042006,0.16837,1.3486,0.024339,2.6901,0,0,0,0,0,0,package://franzi_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/base_link.STL,,base_link-1,cs0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
calf_Link,-1.093E-05,0.0012888,0.15089,0,0,0,16,0.28197,-1.89E-06,0.00024604,0.29762,-7.346E-05,0.084165,0,0,0,0,0,0,package://franzi_description/meshes/calf_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/calf_Link.STL,,calf_link-1,cs_smallleg_pitch,axis_smallleg_pitch,calf_pitch_joint,revolute,0,0,0.24785,0,0,0,base_link,0,1,0,100,3.14,-1.2566,0.52,,,,,,,,
thigh_Link,-0.0089016,0.0018681,0.18956,0,0,0,11,0.24124,0.00021549,0.007479,0.18696,0.0029216,0.11623,0,0,0,0,0,0,package://franzi_description/meshes/thigh_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/thigh_Link.STL,,thigh_link-1,cs_bigleg_pitch,axis_bigleg_pitch,thigh_pitch_joint,revolute,0,0,0.3,0,0,0,calf_Link,0,1,0,100,3.14,0,2.56,,,,,,,,
waist_Link,2.979E-05,-0.0027717,-0.0098953,0,0,0,5,0.0180695,4.7E-07,8.65E-06,0.02313139,-0.00013516,0.02125308,0,0,0,0,0,0,package://franzi_description/meshes/waist_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/waist_Link.STL,,waist_link-1,cs_waist_pitch,axis_waist_pitch,waist_pitch_joint,revolute,0,0,0.35,0,0,0,thigh_Link,0,1,0,100,3.14,-0.5235,0.5235,,,,,,,,
torso_Link,0.01102,-2.3828E-05,0.25382,0,0,0,18.35,0.70815,-9.08E-06,-0.030137,0.56957,4.405E-05,0.34257,0,0,0,0,0,0,package://franzi_description/meshes/torso_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/torso_Link.STL,,body_link-1,cs_waist_yaw,axis_waist_yaw,waist_yaw_joint,revolute,0,0,0.0807,0,0,0,waist_Link,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
head_yaw_Link,0.00036239,-0.0041487,0.043435,0,0,0,0.35,0.00046072,3.5E-07,-6.1E-06,0.00030358,4.84E-06,0.00044763,0,0,0,0,0,0,package://franzi_description/meshes/head_yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/head_yaw_Link.STL,,head_yaw_link-1,cs_neck_yaw,axis_neck_yaw,head_yaw_joint,revolute,0,0,0.461,0,0,0,torso_Link,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
head_pitch_Link,0.019983,-0.00029553,0.11286,0,0,0,1.3,0.0093684,8.59E-06,-0.00087158,0.010546,4.178E-05,0.0074017,0,0,0,0,0,0,package://franzi_description/meshes/head_pitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/head_pitch_Link.STL,,head_pitch_link-1,cs_neck_pitch,axis_neck_pitch,head_pitch_joint,revolute,0,0,0.063,0,0,0,head_yaw_Link,0,1,0,100,3.14,-0.5235,0.5235,,,,,,,,
head_d435_Link,0.058585,-0.016645,-0.022112,0,0,0,0.1,0.00012349,-2.17E-06,-7.363E-05,0.00043436,4.6E-07,0.00041989,0,0,0,0,0,0,package://franzi_description/meshes/head_d435_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://franzi_description/meshes/head_d435_Link.STL,,head_D435-1,cs_head_d435,axis_head_d435,head_d435_joint,fixed,0.092208,0.0175,0.15141,-3.1416,1.2217,3.1416,head_pitch_Link,0,0,0,,,,,,,,,,,,
left_shoulder_pitch_Link,0.0012801,0.062463,1.5281E-06,0,0,0,1.56,0.0019971,2.095E-05,0,0.0015122,-3E-08,0.0020202,0,0,0,0,0,0,package://franzi_description/meshes/left_shoulder_pitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/left_shoulder_pitch_Link.STL,,left_shoulder_pitch_link-1,cs1,axis1,left_shoulder_pitch_joint,revolute,0,0.166,0.374,0,0,0,torso_Link,0,1,0,100,3.14,-3.489,2.617,,,,,,,,
left_shoulder_roll_Link,0.0066589,0.00556,-0.0599,0,0,0,1.6,0.0037226,-5.28E-05,0.0007199,0.0051554,-0.00012249,0.0028701,0,0,0,0,0,0,package://franzi_description/meshes/left_shoulder_roll_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/left_shoulder_roll_Link.STL,,left_shoulder_roll_link-1,cs2,axis2,left_shoulder_roll_joint,revolute,0,0.0725,0,0,0,0,left_shoulder_pitch_Link,1,0,0,100,3.14,-0.52,3.14,,,,,,,,
