index,x,y,z,rx,ry,rz
1,0.278768,0.309039,0.00268799,-2.113,-1.55585,2.60111
2,0.277706,0.309545,0.00424961,-2.49597,-1.55238,2.21987
3,0.276637,0.310045,0.00580957,-2.73427,-1.54714,1.98329
4,0.275563,0.310536,0.00736782,-2.88068,-1.54103,1.83859
5,0.274484,0.311021,0.00892433,-2.97569,-1.53449,1.74528
6,0.273399,0.311497,0.0104791,-3.04104,-1.5277,1.68163
7,0.272309,0.311967,0.012032,-3.08823,-1.52076,1.63614
8,0.271213,0.312428,0.0135831,-3.12365,-1.51372,1.60241
9,0.270112,0.312882,0.0151324,3.13212,-1.5066,1.57667
10,0.269006,0.313329,0.0166797,3.11037,-1.49943,1.5566
11,0.267894,0.313767,0.0182251,3.09278,-1.49222,1.54068
12,0.266778,0.314198,0.0197685,3.07831,-1.48496,1.52787
13,0.265656,0.314622,0.0213099,3.06624,-1.47768,1.51747
14,0.264529,0.315037,0.0228493,3.05607,-1.47037,1.50895
15,0.263397,0.315445,0.0243866,3.04741,-1.46303,1.50194
16,0.262259,0.315845,0.0259217,3.03999,-1.45567,1.49616
17,0.261117,0.316238,0.0274548,3.03357,-1.44829,1.49138
18,0.25997,0.316622,0.0289856,3.028,-1.44089,1.48744
19,0.258818,0.316999,0.0305143,3.02314,-1.43348,1.48421
20,0.257661,0.317368,0.0320407,3.01888,-1.42604,1.48157
21,0.256499,0.317729,0.0335648,3.01513,-1.41859,1.47944
22,0.255333,0.318082,0.0350867,3.01183,-1.41112,1.47774
23,0.254161,0.318427,0.0366062,3.00891,-1.40363,1.47643
24,0.252985,0.318764,0.0381233,3.00633,-1.39613,1.47545
25,0.251804,0.319093,0.039638,3.00405,-1.38862,1.47476
26,0.250619,0.319415,0.0411502,3.00202,-1.38108,1.47433
27,0.249429,0.319728,0.04266,3.00023,-1.37354,1.47413
28,0.248234,0.320033,0.0441673,2.99865,-1.36598,1.47412
29,0.247035,0.32033,0.045672,2.99725,-1.3584,1.4743
30,0.245832,0.320619,0.0471741,2.99602,-1.35082,1.47464
31,0.244624,0.3209,0.0486737,2.99494,-1.34322,1.47512
32,0.243411,0.321173,0.0501706,2.99399,-1.3356,1.47574
33,0.242195,0.321438,0.0516648,2.99317,-1.32797,1.47647
34,0.240974,0.321694,0.0531563,2.99246,-1.32033,1.47731
35,0.239749,0.321943,0.0546451,2.99185,-1.31267,1.47825
36,0.238519,0.322183,0.0561311,2.99133,-1.30501,1.47928
37,0.237285,0.322415,0.0576143,2.9909,-1.29733,1.48038
38,0.236048,0.322639,0.0590946,2.99055,-1.28963,1.48157
39,0.234806,0.322855,0.0605721,2.99028,-1.28193,1.48282
40,0.23356,0.323062,0.0620467,2.99006,-1.27421,1.48413
41,0.23231,0.323261,0.0635183,2.98991,-1.26648,1.4855
42,0.231057,0.323452,0.064987,2.98982,-1.25873,1.48693
43,0.229799,0.323635,0.0664526,2.98978,-1.25098,1.4884
44,0.228538,0.323809,0.0679152,2.98979,-1.24321,1.48992
45,0.227272,0.323975,0.0693748,2.98985,-1.23543,1.49148
46,0.226004,0.324132,0.0708313,2.98995,-1.22764,1.49308
47,0.224731,0.324281,0.0722846,2.99009,-1.21983,1.49471
48,0.223455,0.324422,0.0737348,2.99026,-1.21202,1.49638
49,0.222175,0.324555,0.0751818,2.99047,-1.20419,1.49808
50,0.220891,0.324679,0.0766255,2.99072,-1.19635,1.49981
51,0.219604,0.324795,0.078066,2.99099,-1.1885,1.50156
52,0.218314,0.324902,0.0795032,2.99129,-1.18064,1.50334
53,0.21702,0.325001,0.0809371,2.99162,-1.17277,1.50515
54,0.215723,0.325091,0.0823676,2.99198,-1.16489,1.50697
55,0.214422,0.325173,0.0837947,2.99236,-1.15699,1.50882
56,0.213118,0.325246,0.0852185,2.99276,-1.14908,1.51068
57,0.211811,0.325311,0.0866387,2.99318,-1.14117,1.51257
58,0.210501,0.325368,0.0880555,2.99362,-1.13324,1.51447
59,0.209188,0.325416,0.0894688,2.99408,-1.1253,1.51638
60,0.207872,0.325455,0.0908786,2.99456,-1.11735,1.51831
61,0.206552,0.325486,0.0922848,2.99505,-1.10939,1.52026
62,0.20523,0.325509,0.0936873,2.99557,-1.10142,1.52221
63,0.203904,0.325523,0.0950863,2.99609,-1.09344,1.52418
64,0.202576,0.325528,0.0964815,2.99663,-1.08545,1.52616
65,0.201245,0.325525,0.0978731,2.99718,-1.07744,1.52815
66,0.199912,0.325513,0.099261,2.99775,-1.06943,1.53015
67,0.198575,0.325493,0.100645,2.99833,-1.06141,1.53216
68,0.197236,0.325464,0.102025,2.99891,-1.05338,1.53418
69,0.195894,0.325427,0.103402,2.99951,-1.04533,1.53621
70,0.19455,0.325381,0.104775,3.00012,-1.03728,1.53825
71,0.193203,0.325326,0.106143,3.00074,-1.02922,1.54029
72,0.191854,0.325263,0.107508,3.00137,-1.02114,1.54234
73,0.190502,0.325191,0.108869,3.00201,-1.01306,1.54439
74,0.189148,0.325111,0.110226,3.00265,-1.00497,1.54646
75,0.187792,0.325022,0.111579,3.0033,-0.996867,1.54852
76,0.186433,0.324924,0.112928,3.00396,-0.988755,1.5506
77,0.185072,0.324818,0.114273,3.00463,-0.980634,1.55268
78,0.183709,0.324703,0.115614,3.0053,-0.972503,1.55476
79,0.182344,0.324579,0.11695,3.00598,-0.964363,1.55685
80,0.180977,0.324447,0.118283,3.00666,-0.956214,1.55894
81,0.179608,0.324306,0.119611,3.00735,-0.948055,1.56103
82,0.178237,0.324157,0.120936,3.00804,-0.939887,1.56313
83,0.176863,0.323999,0.122256,3.00874,-0.93171,1.56524
84,0.175489,0.323832,0.123571,3.00944,-0.923524,1.56734
85,0.174112,0.323657,0.124883,3.01015,-0.915329,1.56945
86,0.172734,0.323473,0.12619,3.01086,-0.907125,1.57157
87,0.171354,0.32328,0.127492,3.01158,-0.898913,1.57368
88,0.169972,0.323079,0.128791,3.0123,-0.890691,1.5758
89,0.168589,0.322869,0.130085,3.01302,-0.882461,1.57792
90,0.167204,0.32265,0.131374,3.01374,-0.874223,1.58005
91,0.165818,0.322423,0.13266,3.01447,-0.865975,1.58217
92,0.16443,0.322187,0.13394,3.0152,-0.85772,1.5843
93,0.163041,0.321943,0.135216,3.01593,-0.849455,1.58643
94,0.16165,0.32169,0.136488,3.01666,-0.841183,1.58856
95,0.160259,0.321428,0.137755,3.0174,-0.832902,1.59069
96,0.158866,0.321158,0.139017,3.01813,-0.824613,1.59283
97,0.157472,0.320879,0.140275,3.01887,-0.816316,1.59497
98,0.156077,0.320591,0.141528,3.01961,-0.808011,1.59711
99,0.154681,0.320295,0.142777,3.02035,-0.799697,1.59925
100,0.153284,0.31999,0.144021,3.02109,-0.791376,1.60139
101,0.151886,0.319677,0.14526,3.02184,-0.783047,1.60353
102,0.150487,0.319355,0.146494,3.02258,-0.77471,1.60568
103,0.149087,0.319024,0.147724,3.02332,-0.766365,1.60782
104,0.147687,0.318685,0.148949,3.02407,-0.758013,1.60997
105,0.146286,0.318337,0.150168,3.02481,-0.749653,1.61212
106,0.144884,0.317981,0.151384,3.02555,-0.741285,1.61427
107,0.143481,0.317616,0.152594,3.0263,-0.73291,1.61642
108,0.142078,0.317242,0.153799,3.02704,-0.724528,1.61857
109,0.140675,0.31686,0.154999,3.02779,-0.716138,1.62072
110,0.139271,0.31647,0.156195,3.02853,-0.707741,1.62288
111,0.137866,0.316071,0.157385,3.02927,-0.699337,1.62503
112,0.136462,0.315663,0.158571,3.03001,-0.690925,1.62719
113,0.135057,0.315247,0.159751,3.03075,-0.682507,1.62935
114,0.133651,0.314822,0.160926,3.03149,-0.674081,1.63151
115,0.132246,0.314389,0.162097,3.03223,-0.665649,1.63367
116,0.130841,0.313947,0.163262,3.03297,-0.65721,1.63583
117,0.129435,0.313497,0.164422,3.0337,-0.648763,1.63799
118,0.128029,0.313038,0.165577,3.03444,-0.64031,1.64015
119,0.126624,0.312571,0.166727,3.03517,-0.631851,1.64232
120,0.125219,0.312096,0.167871,3.0359,-0.623385,1.64448
121,0.123813,0.311612,0.16901,3.03663,-0.614912,1.64665
122,0.122408,0.311119,0.170144,3.03735,-0.606432,1.64882
123,0.121003,0.310619,0.171273,3.03808,-0.597947,1.65099
124,0.119599,0.310109,0.172397,3.0388,-0.589455,1.65316
125,0.118195,0.309592,0.173515,3.03952,-0.580956,1.65533
126,0.116791,0.309066,0.174628,3.04024,-0.572452,1.6575
127,0.115388,0.308532,0.175735,3.04095,-0.563941,1.65968
128,0.113986,0.307989,0.176837,3.04166,-0.555424,1.66185
